Name,School,Score
Jeremiah Bryson,Middle Tennessee State,-0.08117010425
Tony Pierson,Kansas,-0.09574863905
Trevorris Johnson,Texas Christian,-0.09900066554
Jay Warren,Florida Atlantic,-0.1028845489
Jordan Wilkins,Ole Miss,-0.1045366923
Jarvis Cooper,Memphis,-0.109493645
Devon Spalding,Central Michigan,-0.1108449291
Josh Snead,Duke,-0.1120126493
Braylon Heard,Kentucky,-0.1159859366
David Williams,South Carolina,-0.1192356161
Tim Byerly,Georgia Tech,-0.123435009
Donovonn Young,Illinois,-0.1257739759
Jarveon Williams,UTSA,-0.1262262797
Prince-Tyson Gulley,Syracuse,-0.1283998591
Reggie Pegram,North Texas,-0.1309670336
Dominique Brown,Louisville,-0.1456147977
Crusoe Gongbay,New Mexico,-0.1471412205
Myles Willis,Boston College,-0.1486666044
Steven Lakalaka,Hawaii,-0.1491158745
Arkeel Newsome,Connecticut,-0.149533594
Gerard Johnson,Old Dominion,-0.1539171069
Romar Morris,North Carolina,-0.1569147878
Mario Pender,Florida State,-0.1635669446
Dwight Macon,Toledo,-0.1644145091
Michael Adkins II,Colorado,-0.1945975728
Diocemy Saint Juste,Hawaii,-0.1964614441
Romell Jordan,New Mexico,-0.1995542511
Ito Smith,Southern Mississippi,-0.2083878579
Tony Jones,Colorado,-0.2103750576
Jalen Richard,Southern Mississippi,-0.2106502278
Kyler Neal,Georgia State,-0.2267009681
Marshawn Williams,Virginia Tech,-0.2274664685
Terrell Newby,Nebraska,-0.2281618426
Xavier Johnson,South Alabama,-0.2299761435
Kenneth Harper,Temple,-0.2311187816
Jay Jones,South Alabama,-0.2328754033
Devin Rushing,Air Force,-0.2393851249
Ryan Brumfield,Eastern Michigan,-0.2406115014
David Anaya,New Mexico,-0.2511742241
Jojo Kemp,Kentucky,-0.2544555558
Rachid Ibrahim,Pitt,-0.2547358213
Greg Bryant,Notre Dame,-0.2596957673
Alex Gardner,Florida International,-0.260261365
Algernon Brown,Brigham Young,-0.2751375683
